motor,n,métrica,repeticiones,p50_ms,p95_ms,p99_ms,mad_ms,ic95_mediana_inferior_ms,ic95_mediana_superior_ms
LokiJS,100,canónica,30,0.14370849999977509,0.18561670000053704,0.5067634299988281,0.011854499996843515,0.1375625000000582,0.15031250000174623
LokiJS,100,proyección,30,0.05181249999805004,0.06756860000132292,0.07485375000032947,0.004916999998386018,0.048142337501030856,0.054625500000838656
LokiJS,100,reconstrucción,30,0.6594370000020717,0.8675436000041368,1.147497859998621,0.039457999999285676,0.6288545000024897,0.6956255000004603
LokiJS,1000,canónica,30,1.2619584999956714,1.4568208000000595,3.306690680002432,0.0197504999996454,1.2524169999960577,1.3003124999995634
LokiJS,1000,proyección,30,0.40893749999668216,0.48116495000103887,0.494257929999003,0.0025004999988595955,0.4077499999984866,0.41443749999962165
LokiJS,1000,reconstrucción,30,6.446416499999032,8.687379099999452,9.748423320000148,0.14731199999368982,6.399812000003294,6.735916000005091
LokiJS,5000,canónica,30,6.976770999997825,8.218239399999582,8.32402638999789,0.19064600000274368,6.903979499998968,7.180207999997947
LokiJS,5000,proyección,30,2.216083499999513,3.0495375000034963,3.4979466100008,0.07189600000128848,2.150687500001368,2.273354000000836
LokiJS,5000,reconstrucción,30,45.93158349999794,50.85881904999951,51.73099892999868,1.2063744999977644,45.2599584999989,46.86370850000094
PouchDB,100,canónica,30,1.166374999999988,3.1747289500000075,4.71268046,0.11170799999999304,1.092457999999965,1.2588330000000099
PouchDB,100,proyección,30,0.4326875000000143,0.6871211999999971,0.764548469999996,0.03058350000000587,0.41610400000001846,0.4632710000000202
PouchDB,100,reconstrucción,30,8.282562499999983,10.829450300000007,12.252199820000008,0.7105419999999754,7.821145999999942,8.899582999999978
PouchDB,1000,canónica,30,13.583896000000095,15.33173544999986,16.372500749999716,0.4533545000003869,13.333500000000186,13.880583000000115
PouchDB,1000,proyección,30,4.708521000000246,5.595914400000172,10.444973180000222,0.24541699999986122,4.493166500000143,4.774499999999989
PouchDB,1000,reconstrucción,30,89.29058350000014,103.22367950000012,152.03712843000022,2.7868539999994937,88.0902914999997,92.8757294999997
PouchDB,5000,canónica,30,69.28681250000045,74.21260869999949,75.75235435999946,0.8257289999992281,68.9253334999994,70.45972900000015
PouchDB,5000,proyección,30,23.062770999998975,24.857487650002803,25.194833569998373,0.8400209999990693,22.70781249999891,23.88445800000045
PouchDB,5000,reconstrucción,30,499.89556300000004,521.5299166999989,558.8770946799979,7.463583500000823,495.7009369999996,502.70764600000257
