engine,size,runs,canonical_p50_ms,canonical_p95_ms,canonical_p99_ms,projection_p50_ms,projection_p95_ms,projection_p99_ms,rebuild_p50_ms,rebuild_p95_ms,rebuild_p99_ms,canonical_mad_ms,canonical_iqr_ms,projection_mad_ms,projection_iqr_ms,rebuild_mad_ms,rebuild_iqr_ms,paired_ratio_p50,paired_ratio_ci95_low,paired_ratio_ci95_high,projection_faster_fraction,cliffs_delta_unpaired
mongodb,100,30,8.74910449999993,10.84004375000017,12.111346249999881,7.814521499999955,8.589666450000129,45.90314796000001,83.41225000000031,91.52812034999997,92.53538764,0.23595800000015288,0.4451977500001192,0.2327909999999065,0.471291999999778,2.5996460000005754,5.263385500000595,0.887117500641265,0.8755083883193439,0.9206556376991206,0.9333333333333333,-0.8355555555555556
mongodb,1000,30,39.90995800000019,45.809395500000385,48.69123799999938,34.430687500000204,41.39043094999952,66.83575338999982,653.4240835000019,774.7748520500018,817.7551088900016,1.5097080000032292,3.102479499997571,1.3437505000001693,3.054270749998068,34.49514600000293,89.75419799999963,0.8691944889379369,0.8495429537898969,0.8856787559189665,0.9333333333333333,-0.7822222222222223
mongodb,5000,30,157.85595849998936,202.770446350002,337.94598329000223,129.27208350000728,148.3349391000003,155.77774300000092,3179.603416999991,4106.6975660000035,4162.044869210001,11.01158300001407,25.275208499993823,7.183854499991867,13.734229250010685,187.03364649998548,654.865844000029,0.799146209891938,0.7854556387365281,0.8160351553374229,1.0,-0.9377777777777778
couchdb,100,30,98.83010449999915,122.74163765000011,126.91111124999877,54.11883350000062,84.7558642500001,105.83197245999965,296.22989550000057,341.8931831499998,411.2393380000004,6.288354000000936,12.462729249999938,3.172479499999099,6.186354749999623,11.092604500000562,20.51053200000075,0.5381608876000487,0.5129619093529558,0.5881124758647207,0.9666666666666667,-0.9088888888888889
couchdb,1000,30,1024.5896040000225,5358.139641849978,9541.11517343,440.26037499998347,1926.803537499999,2838.1799937500055,2985.222104499975,10126.5710314,16183.627276430012,241.92320750002,443.5289997500113,68.71235449999222,122.29518775002362,466.98664600000484,858.4779480000361,0.38701181031431375,0.3555464909853584,0.41115152632743185,1.0,-0.8488888888888889
couchdb,5000,30,4298.485291499936,6763.587156549997,7284.8364826800025,1477.0930414999602,1963.194272550006,2806.8811356400242,12844.487916500017,16735.10869564999,16951.375376929926,534.1985209999257,1026.101697750113,152.63233350001974,335.42197899996245,1361.4220205000602,2928.335667000123,0.3623416328400809,0.3535404502083376,0.37512367530999846,1.0,-1.0
opensearch,100,30,178.38083350000124,276.3836460499969,303.21963560999995,167.0581459999994,320.5758772000011,482.5014162099992,511.4448540000012,750.8593435999998,1085.5865737500071,21.226000000000568,40.634999750000134,21.577437500000087,41.04295799999903,57.210125499999776,136.55494774999806,0.9853985501397645,0.8526109484836544,1.0973367898977302,0.5,-0.13777777777777778
opensearch,1000,30,200.5567294999928,437.8090812500003,493.41546375000445,168.73262499999691,304.54298764999686,373.04470499998865,851.4170625000042,1846.5834685999944,2449.9961989299927,19.436729499997455,37.43878150000819,33.587875000004715,57.30686475000766,78.7560000000085,186.10333350001383,0.7472953060977925,0.7036399687235849,0.8544633361064775,0.9,-0.5444444444444444
opensearch,5000,30,450.8371460000053,763.0563872000039,993.6610148200051,250.17339599999832,369.33825840000054,429.2241729300243,2998.821333499989,4684.3005722500175,6289.590129390025,72.86393799999496,126.52195824996306,34.55622849999054,70.14759374998539,380.70949999998265,1007.8704687499994,0.5277178966025171,0.5050685124918619,0.5707494281829845,1.0,-0.9288888888888889
