profile,N,comparison,runs,median_ratio,ratio_ci_low,ratio_ci_high,median_difference_ms,sign_test_p,holm_p
R,1000,B0/C1,30,1.162574898337287,1.0504729050559405,1.2450817672834082,0.690068950000591,0.005222879350185394,0.041783034801483154
R,1000,B1/C1,30,0.9972170023792983,0.9896877538198781,1.1145501046616277,-0.01191194999983014,0.855535551905632,1
R,10000,B0/C1,30,2.597573128637357,2.1862562196452755,2.904024623975023,19.011335474994837,1.862645149230957e-09,3.3527612686157227e-08
R,10000,B1/C1,30,1.1487058590615902,1.03774801558921,1.5202943311829193,1.4534071249923768,0.016124801710247993,0.11287361197173595
R,50000,B0/C1,30,3.5080054987099336,3.1468549239234243,3.7217579493990725,61.4839070500122,1.862645149230957e-09,3.3527612686157227e-08
R,50000,B1/C1,30,1.2179436126529004,1.134026187598748,1.3335996417062232,5.388462350019109,5.947612226009369e-05,0.0007137134671211243
A,1000,B0/C1,30,1.07039934191809,0.9898545133553764,1.1355765519355963,0.29450397498003444,0.09873714670538902,0.5924228802323341
A,1000,B1/C1,30,1.153544718234508,1.000472168805528,1.2866096296205025,0.6219065250013953,0.09873714670538902,0.5924228802323341
A,10000,B0/C1,30,2.5700139423277584,2.47675815105139,2.655085176859539,11.253654275019652,1.862645149230957e-09,3.3527612686157227e-08
A,10000,B1/C1,30,1.1668035457441217,1.0789042866804728,1.2015930258319178,1.2381073250435293,5.947612226009369e-05,0.0007137134671211243
A,50000,B0/C1,30,3.460390085460898,3.1652364081928224,3.9936288978827355,63.059937500028155,1.862645149230957e-09,3.3527612686157227e-08
A,50000,B1/C1,30,1.1064962563804857,0.9144734340259624,1.2428724195600656,2.639516574988381,0.584664711728692,1
B,1000,B0/C1,30,1.096747541588234,0.9974657634369217,1.239345553267575,0.4719644749711738,0.09873714670538902,0.5924228802323341
B,1000,B1/C1,30,1.053382792407128,0.955596257280915,1.1218799444015675,0.2738125750125606,0.584664711728692,1
B,10000,B0/C1,30,2.6080339147928537,2.444740630499692,2.786901318868117,13.284293750036156,5.774199962615967e-08,7.506459951400757e-07
B,10000,B1/C1,30,1.2215066187306294,1.141287163918348,1.3251913487527536,1.924745174951385,5.947612226009369e-05,0.0007137134671211243
B,50000,B0/C1,30,3.5537355388511194,3.2316218106695502,3.7959793568950158,59.4495306000579,1.862645149230957e-09,3.3527612686157227e-08
B,50000,B1/C1,30,1.1783073206173822,1.0769252454641398,1.268944064416356,4.56370612507453,0.001430906355381012,0.012878157198429108
